match_id,match,liga,selection,data_status,sample_status,prior_status,shrinkage_applied,p_model,p_market,delta_model_market_pp,p_scoreline,p_strength,p_market_component,p_scoreline_raw,p_strength_raw,n_current_home,n_current_away,n_prior_home,n_prior_away,weight_current,weight_prior,haircut_total,p_adj,scoreline_strength_gap,model_top1,market_top1,scoreline_top1,strength_top1,scoreline_raw_top1,strength_raw_top1,pdraw_model,pdraw_market,lambda_home_scoreline,lambda_away_scoreline,lambda_home_scoreline_raw,lambda_away_scoreline_raw
8553366,Shimizu S-Pulse vs JEF United,Japan J1 League,1X,READY,SMALL SAMPLE,PRIOR / SHRINKAGE,DA,0.69426589,0.7546861053,-6.042021535,0.6977735293,0.626830396,0.7546861053,0.7581057969,0.7012533197,4,4,70,70,0.05405405405,0.9459459459,0.045,0.64926589,0.07453467652,0.4424395203,0.4805117525,0.4545936684,0.3800589919,0.5059695938,0.447609194,0.2518263697,0.2741743529,1.627635135,1.284189189,1.5775,1.0075
8553366,Shimizu S-Pulse vs JEF United,Japan J1 League,X2,READY,SMALL SAMPLE,PRIOR / SHRINKAGE,DA,0.5575604797,0.5194882475,3.807223214,0.5454063316,0.6199410081,0.5194882475,0.4940304062,0.552390806,4,4,70,70,0.05405405405,0.9459459459,0.045,0.5125604797,0.07453467652,0.4424395203,0.4805117525,0.4545936684,0.3800589919,0.5059695938,0.447609194,0.2518263697,0.2741743529,1.627635135,1.284189189,1.5775,1.0075
8553366,Shimizu S-Pulse vs JEF United,Japan J1 League,12,READY,SMALL SAMPLE,PRIOR / SHRINKAGE,DA,0.7481736303,0.7258256471,2.234798321,0.7568201391,0.753228596,0.7258256471,0.7478637969,0.7463558743,4,4,70,70,0.05405405405,0.9459459459,0.045,0.7031736303,0.07453467652,0.4424395203,0.4805117525,0.4545936684,0.3800589919,0.5059695938,0.447609194,0.2518263697,0.2741743529,1.627635135,1.284189189,1.5775,1.0075
8612588,Popești-Leordeni vs ASU Poli Timişoara,Romania Liga II,1X,READY,SMALL SAMPLE,PRIOR / SHRINKAGE,DA,0.6476130254,0.5288881424,11.8724883,0.7211974674,0.6191690243,0.5288881424,0.6141857611,0.5655586542,3,3,77,77,0.0375,0.9625,0.045,0.6026130254,0.1103943637,0.4023889556,0.4711118576,0.4864843471,0.3808309757,0.396221187,0.4344413458,0.2452240698,0.2683909976,1.7491875,1.27134375,1.833333333,1.8075
8612588,Popești-Leordeni vs ASU Poli Timişoara,Romania Liga II,X2,READY,SMALL SAMPLE,PRIOR / SHRINKAGE,DA,0.5976110444,0.7395028552,-14.18918108,0.5135156529,0.6239100167,0.7395028552,0.603778813,0.6736881394,3,3,77,77,0.0375,0.9625,0.045,0.5526110444,0.1103943637,0.4023889556,0.4711118576,0.4864843471,0.3808309757,0.396221187,0.4344413458,0.2452240698,0.2683909976,1.7491875,1.27134375,1.833333333,1.8075
8612588,Popești-Leordeni vs ASU Poli Timişoara,Romania Liga II,12,READY,SMALL SAMPLE,PRIOR / SHRINKAGE,DA,0.7547759302,0.7316090024,2.316692782,0.7652868797,0.756920959,0.7316090024,0.7820354259,0.7607532064,3,3,77,77,0.0375,0.9625,0.045,0.7097759302,0.1103943637,0.4023889556,0.4711118576,0.4864843471,0.3808309757,0.396221187,0.4344413458,0.2452240698,0.2683909976,1.7491875,1.27134375,1.833333333,1.8075
8553086,Fagiano Okayama vs Kyoto Sanga,Japan J1 League,1X,READY,SMALL SAMPLE,PRIOR / SHRINKAGE,DA,0.6951897923,0.75606789,-6.087809772,0.697958184,0.6287749111,0.75606789,0.7684396311,0.735672084,3,4,70,70,0.04109589041,0.9589041096,0.045,0.6501897923,0.07270474859,0.4471661523,0.4956909187,0.4552261463,0.3825213978,0.524422921,0.4989010431,0.24802364,0.2603769713,1.633006757,1.28725472,1.660833333,1.016666667
8553086,Fagiano Okayama vs Kyoto Sanga,Japan J1 League,X2,READY,SMALL SAMPLE,PRIOR / SHRINKAGE,DA,0.5528338477,0.5043090813,4.85247664,0.5447738537,0.6174786022,0.5043090813,0.475577079,0.5010989569,3,4,70,70,0.04109589041,0.9589041096,0.045,0.5078338477,0.07270474859,0.4471661523,0.4956909187,0.4552261463,0.3825213978,0.524422921,0.4989010431,0.24802364,0.2603769713,1.633006757,1.28725472,1.660833333,1.016666667
8553086,Fagiano Okayama vs Kyoto Sanga,Japan J1 League,12,READY,SMALL SAMPLE,PRIOR / SHRINKAGE,DA,0.75197636,0.7396230287,1.235333132,0.7572679623,0.7537464867,0.7396230287,0.7559832899,0.7632289592,3,4,70,70,0.04109589041,0.9589041096,0.045,0.70697636,0.07270474859,0.4471661523,0.4956909187,0.4552261463,0.3825213978,0.524422921,0.4989010431,0.24802364,0.2603769713,1.633006757,1.28725472,1.660833333,1.016666667
8553173,Tokyo vs Nagoya Grampus,Japan J1 League,1X,READY,SMALL SAMPLE,PRIOR / SHRINKAGE,DA,0.6973902944,0.76296414,-6.557384567,0.6987383022,0.6291204331,0.76296414,0.7913692657,0.7412997087,3,3,70,70,0.04109589041,0.9589041096,0.045,0.6523902944,0.07375934099,0.4532212056,0.5164468457,0.4567324392,0.3829730982,0.5706478531,0.5078274982,0.2441690888,0.2465172943,1.642294521,1.290650685,1.9175,1.0725
